Roll #,Team 1,Team 2,Team 3,Team 4
1,10,9,4,6
2,8,5,4,12
3,8,7,4,4
4,7,6,9,12
5,7,3,8,8
6,10,9,12,7
7,8,10,5,9
8,9,9,5,5
9,7,8,7,7
10,4,3,8,5
11,9,6,11,3
12,11,3,12,7
13,11,7,9,10
14,12,4,2,6
15,7,7,10,7
16,11,5,6,9
17,8,6,6,7
18,8,6,9,6
19,10,5,2,8
20,12,9,2,10
21,7,6,5,4
22,7,6,10,7
23,10,8,6,12
24,9,6,7,4
25,9,6,7,6
26,9,7,6,5
27,7,4,7,3
28,11,10,10,11
29,11,10,9,11
30,12,6,9,11
31,11,7,6,5
32,12,9,5,7
33,5,9,3,7
34,10,4,6,7
35,8,9,10,6
36,8,7,6,11
37,9,7,9,8
38,9,3,8,8
39,9,6,9,6
40,7,8,9,9
41,7,3,3,2
42,12,7,6,12
43,7,10,11,4
44,8,9,8,2
45,8,4,6,10
46,6,3,6,7
47,4,7,10,7
48,9,5,4,10
49,10,11,10,7
50,10,9,10,7
