"Time","snow","eagles"
"2021-02-01",28,12
"2021-03-01",4,11
"2021-04-01",2,10
"2021-05-01",2,12
"2021-06-01",2,6
"2021-07-01",2,8
"2021-08-01",2,21
"2021-09-01",2,38
"2021-10-01",3,39
"2021-11-01",6,34
"2021-12-01",8,29
"2022-01-01",24,36
"2022-02-01",7,6
"2022-03-01",4,10
"2022-04-01",2,14
"2022-05-01",2,11
"2022-06-01",2,8
"2022-07-01",2,8
"2022-08-01",3,23
"2022-09-01",3,46
"2022-10-01",4,70
"2022-11-01",7,63
"2022-12-01",10,53
"2023-01-01",6,84
"2023-02-01",5,44
"2023-03-01",4,14
"2023-04-01",2,15
"2023-05-01",2,11
"2023-06-01",2,7
"2023-07-01",2,11
"2023-08-01",3,30
"2023-09-01",3,59
"2023-10-01",4,74
"2023-11-01",7,69
"2023-12-01",9,81
"2024-01-01",22,44
"2024-02-01",9,8
"2024-03-01",4,15
"2024-04-01",3,13
"2024-05-01",2,10
"2024-06-01",2,8
"2024-07-01",2,8
"2024-08-01",2,25
"2024-09-01",3,65
"2024-10-01",4,38
"2024-11-01",7,59
"2024-12-01",11,64
"2025-01-01",23,100
"2025-02-01",12,72
"2025-03-01",7,16
"2025-04-01",4,14
"2025-05-01",3,11
"2025-06-01",3,8
"2025-07-01",3,12
"2025-08-01",3,33
"2025-09-01",4,90
"2025-10-01",5,73
"2025-11-01",8,82
"2025-12-01",21,68
"2026-01-01",43,47
